time,com_x,com_y,com_z,base_x,base_y,base_z,base_roll,base_pitch,base_yaw,support_x_min,support_x_max,support_y_min,support_y_max,com_inside_support,left_contact,right_contact,support_point_count,left_fx,left_fy,left_fz,right_fx,right_fy,right_fz,left_contact_x_mean,left_contact_y_mean,right_contact_x_mean,right_contact_y_mean,right_minus_left_fz,left_force_age,right_force_age,left_force_stale,right_force_stale,com_support_signed_distance,source_sim_time,pose_updated
0.0,1.5445505953825543e-05,-0.027681949878848335,0.34312626398584434,0.00010015308551046911,-0.00136905022690281,0.41337058732229426,0.0006539273514862111,-0.00187959626438038,-0.0044507961705781765,-0.14078419983049187,0.1449524881723434,-0.04438061233141838,0.11658718678421198,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0.01668054299557698,0.0,1
0.01,1.5445505953825543e-05,-0.027681949878848335,0.34312626398584434,0.00010015308551046911,-0.00136905022690281,0.41337058732229426,0.0006539273514862111,-0.00187959626438038,-0.0044507961705781765,-0.14078419983049187,0.1449524881723434,-0.04438061233141838,0.11658718678421198,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0.01668054299557698,0.0,0
0.02,0.0018900642132241257,-0.029569411856739662,0.348313438681143,0.001441296791977606,-0.0045200026169986566,0.41901267272020654,0.02006315034086989,-0.014299685807055477,-0.01841756834709345,-0.1337217385936346,0.15166869003456848,-0.04183298299307732,0.12186383308707775,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0.010462751490573805,0.017,1
0.03,0.0018900642132241257,-0.029569411856739662,0.348313438681143,0.001441296791977606,-0.0045200026169986566,0.41901267272020654,0.02006315034086989,-0.014299685807055477,-0.01841756834709345,-0.1337217385936346,0.15166869003456848,-0.04183298299307732,0.12186383308707775,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0.010462751490573805,0.017,0
0.04,0.003620707353966008,-0.031375976387422615,0.35085104655316285,0.0028192365301951813,-0.00781668615041548,0.4220562799828705,0.03991073557957136,-0.024575594818556444,-0.03305364556958866,-0.12951694649340767,0.15991041318028562,-0.038701476066283644,0.12931035918545086,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0.003322044214101839,0.034,1
0.05,0.003620707353966008,-0.031375976387422615,0.35085104655316285,0.0028192365301951813,-0.00781668615041548,0.4220562799828705,0.03991073557957136,-0.024575594818556444,-0.03305364556958866,-0.12951694649340767,0.15991041318028562,-0.038701476066283644,0.12931035918545086,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0.003322044214101839,0.034,0
0.06,0.005340095307740242,-0.03317004418390109,0.35096616182363344,0.004322706815284016,-0.011073960605500048,0.42262440453035555,0.06270713273511794,-0.03265134757360838,-0.04837190783370101,-0.12536838475734224,0.16629866497339896,-0.035672619399437694,0.13585216435861291,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.003799844197620007,0.051000000000000004,1
0.07,0.007155231429435415,-0.03500657877558165,0.35089487141092635,0.006481159309450238,-0.014457783100932197,0.4230187381935115,0.08303421296170856,-0.03014520668089167,-0.061028632041563266,-0.12457910260716601,0.17068080877010988,-0.032053872194941206,0.14279428948145742,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.01096674803893062,0.068,1
0.08,0.007155231429435415,-0.03500657877558165,0.35089487141092635,0.006481159309450238,-0.014457783100932197,0.4230187381935115,0.08303421296170856,-0.03014520668089167,-0.061028632041563266,-0.12457910260716601,0.17068080877010988,-0.032053872194941206,0.14279428948145742,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.01096674803893062,0.068,0
0.09,0.009148581430332939,-0.036933633724476514,0.34922639512553866,0.009046283779075624,-0.017873092995015556,0.4217553999993071,0.10508035288388769,-0.024268546235560167,-0.07311640015084876,-0.12375374166596148,0.17245842628935026,-0.028707596488167786,0.14868260098317482,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.017914504397625784,0.085,1
0.1,0.009148581430332939,-0.036933633724476514,0.34922639512553866,0.009046283779075624,-0.017873092995015556,0.4217553999993071,0.10508035288388769,-0.024268546235560167,-0.07311640015084876,-0.12375374166596148,0.17245842628935026,-0.028707596488167786,0.14868260098317482,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.017914504397625784,0.085,0
0.11,0.01155479172322938,-0.039089210551861146,0.34747346055451,0.012407245671209289,-0.02156358182629155,0.42039291893229275,0.12366966354156782,-0.011019694480332238,-0.082047810691363,-0.12486501702332249,0.17319692471986464,-0.02509163668813609,0.1546192553006855,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.024753872306934904,0.10200000000000001,1
0.12,0.013983634367208415,-0.04171215788452016,0.34560488787645316,0.01601475122979316,-0.025411559652643214,0.41877787304761743,0.14148104121337693,0.005678529821948201,-0.09122549824989772,-0.12621573283840926,0.1723839771509036,-0.022594050003459487,0.15755039124276554,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.029731891362394045,0.11900000000000001,1
0.13,0.013983634367208415,-0.04171215788452016,0.34560488787645316,0.01601475122979316,-0.025411559652643214,0.41877787304761743,0.14148104121337693,0.005678529821948201,-0.09122549824989772,-0.12621573283840926,0.1723839771509036,-0.022594050003459487,0.15755039124276554,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.029731891362394045,0.11900000000000001,0
0.14,0.01626897349145269,-0.04547917265465758,0.34698996324675446,0.019169363909404786,-0.029839888744397438,0.42028368860924614,0.1476118231720619,0.01521384863286978,-0.10413145288589212,-0.12677636187108599,0.17481877371713253,-0.025326168691006123,0.1583150625203325,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.032319444206898605,0.136,1
0.15,0.01626897349145269,-0.04547917265465758,0.34698996324675446,0.019169363909404786,-0.029839888744397438,0.42028368860924614,0.1476118231720619,0.01521384863286978,-0.10413145288589212,-0.12677636187108599,0.17481877371713253,-0.025326168691006123,0.1583150625203325,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.032319444206898605,0.136,0
0.16,0.018289308897284254,-0.04948354965788823,0.34690842213253464,0.021956031356868334,-0.034315190633681034,0.42025137474674285,0.1538607731729108,0.021268972919808483,-0.12051347110809058,-0.12598185855370708,0.17698201715990475,-0.029471969955481986,0.15783037354463425,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.03405819452679662,0.15300000000000002,1
0.17,0.0197838684311456,-0.053873142658534864,0.346946501205362,0.0237008260004064,-0.03905787269000756,0.42034704152758134,0.15583916082238936,0.020929393745579963,-0.14034845244746258,-0.12327530095188427,0.1825461938974045,-0.035131258266328284,0.15714574451133673,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.03530356109716424,0.16999999999999998,1
0.18,0.0197838684311456,-0.053873142658534864,0.346946501205362,0.0237008260004064,-0.03905787269000756,0.42034704152758134,0.15583916082238936,0.020929393745579963,-0.14034845244746258,-0.12327530095188427,0.1825461938974045,-0.035131258266328284,0.15714574451133673,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.03530356109716424,0.16999999999999998,0
0.19,0.02086236524529572,-0.058506777876460005,0.346046471891218,0.024870909663964123,-0.043874471823789465,0.41946182785869157,0.1590221749054836,0.01648207097463712,-0.1634898176863833,-0.1193522350057504,0.18790413648177462,-0.04215144515032799,0.15520665634660052,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.03588476659822493,0.187,1
0.2,0.02086236524529572,-0.058506777876460005,0.346046471891218,0.024870909663964123,-0.043874471823789465,0.41946182785869157,0.1590221749054836,0.01648207097463712,-0.1634898176863833,-0.1193522350057504,0.18790413648177462,-0.04215144515032799,0.15520665634660052,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.03588476659822493,0.187,0
0.21,0.021286815339758222,-0.06334991446165575,0.3449196822120443,0.025065821573231842,-0.04891914965518347,0.41837518655158384,0.15960611769264776,0.007659220277286948,-0.1878009540320336,-0.11434275791844947,0.19473879316708553,-0.0492147535822037,0.1532845558868572,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.03669337358658592,0.20400000000000001,1
0.22,0.021286815339758222,-0.06334991446165575,0.3449196822120443,0.025065821573231842,-0.04891914965518347,0.41837518655158384,0.15960611769264776,0.007659220277286948,-0.1878009540320336,-0.11434275791844947,0.19473879316708553,-0.0492147535822037,0.1532845558868572,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.03669337358658592,0.20400000000000001,0
0.23,0.020871689654813647,-0.06840737992022744,0.34417633959901456,0.02455617422039487,-0.05414374636915207,0.417638416789174,0.16328193378803987,0.003074518265448097,-0.20987340315022626,-0.11181293207129844,0.1998656922744943,-0.05730566949928267,0.15100104630806505,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.03757004601630809,0.22100000000000003,1
0.24,0.019878110273751397,-0.07372902061421974,0.3440123938789628,0.02400312847307792,-0.059819036461983305,0.4174989485981095,0.16425676168633124,0.007867434407024467,-0.22834443780560365,-0.11286617840790428,0.2021233599628218,-0.06405280163269944,0.1489575803241343,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.038693727098740104,0.238,1
0.25,0.019878110273751397,-0.07372902061421974,0.3440123938789628,0.02400312847307792,-0.059819036461983305,0.4174989485981095,0.16425676168633124,0.007867434407024467,-0.22834443780560365,-0.11286617840790428,0.2021233599628218,-0.06405280163269944,0.1489575803241343,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.038693727098740104,0.238,0
