Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
L_Leg_ankle,-0.022813,-0.018242,-0.030589,0,0,0,0.3419,0.00014139,-1.9236E-06,8.4441E-09,8.584E-05,-1.9434E-06,0.00014057,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Leg_ankle.STL,0.41176,0.41176,0.41176,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Leg_ankle.STL,,"왼다리_수정-1/MX-106R-6;왼다리_수정-1/모터간연결부 2-2;왼다리_수정-1/MX-106R-7;왼다리_수정-1/모터간연결부 1-2;왼다리_수정-1/발목,골반 연결부-2",좌표계8,기준축8,L_Leg_ankle_pitch,revolute,-0.022585,-0.093743,0,0,0,-0.70796,L_Leg_calf,0,0,1,0,0,0,0,,,,,,,,
L_Leg_foot,-0.00018856,0.032607,-0.060803,0,0,0,0.084269,0.00013026,-1.3786E-09,-6.2696E-08,0.00017596,-5.6808E-10,5.2192E-05,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Leg_foot.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Leg_foot.STL,,왼다리_수정-1/발바닥-1;왼다리_수정-1/발목-1,좌표계7,기준축7,L_Leg_ankle_roll,revolute,-0.07773,-0.03589,-0.0308,3.1416,1.5708,0,L_Leg_ankle,0,0,1,0,0,0,0,,,,,,,,
Upper_Body,-0.00039083,-0.0050187,0.049301,0,0,0,1.6853,0.00091772,-5.0148E-06,-3.6232E-09,0.0025848,-3.1124E-07,0.0024262,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/Upper_Body.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/Upper_Body.STL,,"상체 어셈블리-1/상체 앞판-2;배터리 모사-1;상체 어셈블리-1/상체 1,2층 왼쪽 옆판-2;상체 어셈블리-1/상체 2층 판-1;상체 어셈블리-1/MX-64AT_AR-4;상체 어셈블리-1/상체 3층 판-2;상체 어셈블리-1/상체 오른팔 모터 지지대-2;상체 어셈블리-1/MX-28T_R-1;상체 어셈블리-1/MX-64AT_AR-3;상체 어셈블리-1/상체 왼팔 모터 지지대-1;컨버터 모사-1;상체 어셈블리-1/상체 1층 2층 어셈블리-1/상체 1층 판-1;상체 어셈블리-1/젯슨 외곽 케이스-1;상체 어셈블리-1/젯슨 뒷쪽 케이스-1;젯슨 모사-1;상체 어셈블리-1/상체 1,2층 오른쪽 옆판-2;컨버터 모사-2;상체 어셈블리-1/상체 1층 2층 어셈블리-1/배터리판-1;상체 어셈블리-1/상체 뒷판-1;PCB 아웃라인-1",좌표계13,기준축13,Waist,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
R_Arm_shoulder,-0.0032353,-2.7733E-12,0.019229,0,0,0,0.019087,1.3968E-05,-3.0057E-17,1.2918E-06,8.6346E-06,-2.1011E-18,9.6296E-06,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/R_Arm_shoulder.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/R_Arm_shoulder.STL,,상체 어셈블리-1/오른팔 어셈블리-1/오른 어깨-1,좌표계14,기준축14,R_Arm_shoulder_yaw,revolute,-0.083498,0.0039294,0.085072,3.1416,-1.5708,0,Upper_Body,0,0,1,0,0,0,0,,,,,,,,
R_Arm_upper,1.5063E-05,-0.040916,-0.022615,0,0,0,0.16253,4.0987E-05,-3.2529E-07,1.4746E-12,2.8371E-05,-3.2529E-07,4.0987E-05,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/R_Arm_upper.STL,0.85098,0.85098,0.85098,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/R_Arm_upper.STL,,"상체 어셈블리-1/오른팔 어셈블리-1/MX-28T_R-9;상체 어셈블리-1/오른팔 어셈블리-1/link3,5-1;상체 어셈블리-1/오른팔 어셈블리-1/MX-28T_R-5;상체 어셈블리-1/오른팔 어셈블리-1/link3,5-4",좌표계15,기준축15,R_Arm_pitch,fixed,-0.025548,-0.022225,0.039672,-1.5708,0,3.1416,R_Arm_shoulder,0,0,0,,,,,,,,,,,,
R_Arm_lower,-0.003208,0.068561,-0.022626,0,0,0,0.11139,4.633E-05,-6.0299E-07,7.3542E-10,2.5834E-05,-3.221E-07,3.4799E-05,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/R_Arm_lower.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/R_Arm_lower.STL,,"상체 어셈블리-1/오른팔 어셈블리-1/link4-1;상체 어셈블리-1/오른팔 어셈블리-1/MX-28T_R-6;상체 어셈블리-1/오른팔 어셈블리-1/link3,5-5;상체 어셈블리-1/오른팔 어셈블리-1/뉴 그리퍼 고정부-1",좌표계16,기준축16,R_Arm_elbow,revolute,-0.022975,-0.081831,-0.0226,3.1416,1.5708,0,R_Arm_upper,0,0,-1,0,0,0,0,,,,,,,,
R_Arm_hand,0.018631,0.038368,-0.02258,0,0,0,0.018532,1.7778E-05,-1.2817E-06,-3.8282E-10,8.5162E-06,-3.2918E-09,1.2239E-05,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/R_Arm_hand.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/R_Arm_hand.STL,,상체 어셈블리-1/오른팔 어셈블리-1/뉴 그리퍼 구동부-1,좌표계17,기준축17,R_arm_hand,revolute,0,0.078998,0,0,0,0,R_Arm_lower,0,0,-1,0,0,0,0,,,,,,,,
L_Arm_shoulder,0.0032353,5.0626E-12,0.019229,0,0,0,0.019087,1.3968E-05,1.0013E-18,-1.2918E-06,8.6346E-06,8.6286E-20,9.6296E-06,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Arm_shoulder.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Arm_shoulder.STL,,상체 어셈블리-1/왼팔 어셈블리-1/오른 어깨-1,좌표계18,기준축18,L_Arm_yaw,revolute,0.083445,0.0039294,0.085072,0,1.5708,0,Upper_Body,0,0,1,0,0,0,0,,,,,,,,
L_Arm_upper,-1.5063E-05,-0.040916,-0.022615,0,0,0,0.16253,4.0987E-05,3.2528E-07,1.4746E-12,2.8371E-05,-3.2528E-07,4.0987E-05,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Arm_upper.STL,0.85098,0.85098,0.85098,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Arm_upper.STL,,"상체 어셈블리-1/왼팔 어셈블리-1/MX-28T_R-5;상체 어셈블리-1/왼팔 어셈블리-1/link3,5-1;상체 어셈블리-1/왼팔 어셈블리-1/link3,5-4;상체 어셈블리-1/왼팔 어셈블리-1/MX-28T_R-9",좌표계19,기준축19,L_Arm_pitch,revolute,0.025548,-0.022225,0.039672,-1.5708,0,-3.1416,L_Arm_shoulder,0,0,-1,0,0,0,0,,,,,,,,
L_Arm_lower,0.003208,0.068561,-0.022243,0,0,0,0.11139,4.633E-05,6.0299E-07,7.3542E-10,2.5834E-05,-3.2848E-07,3.4799E-05,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Arm_lower.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Arm_lower.STL,,"상체 어셈블리-1/왼팔 어셈블리-1/link4-1;상체 어셈블리-1/왼팔 어셈블리-1/MX-28T_R-6;상체 어셈블리-1/왼팔 어셈블리-1/link3,5-5;상체 어셈블리-1/왼팔 어셈블리-1/뉴 그리퍼 고정부-1",좌표계20,기준축20,L_Arm_elbow,revolute,0.0226,-0.081831,-0.0226,0,-1.5708,0,L_Arm_upper,0,0,-1,0,0,0,0,,,,,,,,
L_Arm_hand,-0.018631,0.038368,-0.02262,0,0,0,0.018532,1.7778E-05,1.2817E-06,-3.8282E-10,8.5162E-06,3.2918E-09,1.2239E-05,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Arm_hand.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/L_Arm_hand.STL,,상체 어셈블리-1/왼팔 어셈블리-1/뉴 그리퍼 구동부-1,좌표계21,기준축21,L_Arm_hand,revolute,0,0.078998,0.000375,0,0,0,L_Arm_lower,0,0,-1,0,0,0,0,,,,,,,,
Neck,-2.8823E-05,-0.0046672,0.028195,0,0,0,0.081827,1.8731E-05,6.9662E-13,-3.2529E-07,2.2526E-05,2.0296E-08,1.4391E-05,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/Neck.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/Neck.STL,,상체 어셈블리-1/상체모터랑 연결되는 판-1;상체 어셈블리-1/MX-28T_R-2,좌표계22,기준축22,Neck_yaw,revolute,0,-0.040141,0.14855,0,0,3.1416,Upper_Body,0,0,1,0,0,0,0,,,,,,,,
head,-0.041657,-2.3522E-05,-0.022351,0,0,0,0.088177,4.8833E-05,-1.1583E-08,-6.3919E-07,4.9891E-05,-2.2617E-09,8.3925E-06,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/head.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://STEP URDF FIXED/meshes/head.STL,,상체 어셈블리-1/D435i_Solid 질량적용-1;상체 어셈블리-1/카메라연결판2-1;상체 어셈블리-1/카메라연결판-2;상체 어셈블리-1/카메라연결판-1,좌표계23,기준축23,Neck_pitch,revolute,-0.022899,-0.0049021,0.041461,1.5708,0,-1.5708,Neck,0,0,1,0,0,0,0,,,,,,,,
