frame,RL1_wrap,RL5_wrap,LL1_wrap,LL5_wrap
128,-1.1398699999999997,1.1398699999999997,-1.09292,1.09292
129,-1.0898699999999997,1.0898699999999997,-1.0429199999999998,1.0429199999999998
130,-1.0398699999999996,1.0398699999999996,-0.9929199999999998,0.9929199999999998
131,-0.9898699999999996,0.9898699999999996,-0.9429199999999998,0.9429199999999998
132,-0.9398699999999995,0.9398699999999995,-0.8929199999999997,0.8929199999999997
133,-0.8898699999999995,0.8898699999999995,-0.8429199999999997,0.8429199999999997
134,-0.8398699999999995,0.8398699999999995,-0.7929199999999996,0.7929199999999996
135,-0.7898699999999994,0.7898699999999994,-0.7429199999999996,0.7429199999999996
136,-0.7398699999999994,0.7398699999999994,-0.6929199999999995,0.6929199999999995
137,-0.6898699999999993,0.6898699999999993,-0.6429199999999995,0.6429199999999995
138,-0.6398699999999993,0.6398699999999993,-0.5929199999999994,0.5929199999999994
139,-0.5898699999999992,0.5898699999999992,-0.5429199999999994,0.5429199999999994
140,-0.5398699999999992,0.5398699999999992,-0.4929199999999994,0.4929199999999994
141,-0.4898699999999992,0.4898699999999992,-0.4429199999999994,0.4429199999999994
142,-0.4398699999999992,0.4398699999999992,-0.39291999999999944,0.39291999999999944
143,-0.3898699999999992,0.3898699999999992,-0.34291999999999945,0.34291999999999945
144,-0.33986999999999923,0.33986999999999923,-0.29291999999999946,0.29291999999999946
145,-0.28986999999999924,0.28986999999999924,-0.24291999999999947,0.24291999999999947
146,-0.23986999999999925,0.23986999999999925,-0.19291999999999948,0.19291999999999948
147,-0.18986999999999926,0.18986999999999926,-0.1429199999999995,0.1429199999999995
148,-0.13986999999999927,0.13986999999999927,-0.09291999999999949,0.09291999999999949
149,-0.08986999999999927,0.08986999999999927,-0.042919999999999486,0.042919999999999486
150,-0.03986999999999927,0.03986999999999927,0.0070800000000005164,-0.0070800000000005164
151,0.010130000000000736,-0.010130000000000736,0.05708000000000052,-0.05708000000000052
152,0.06013000000000074,-0.06013000000000074,0.10708000000000052,-0.10708000000000052
153,0.11013000000000074,-0.11013000000000074,0.15708000000000052,-0.15708000000000052
154,0.16013000000000074,-0.16013000000000074,0.20708000000000054,-0.20708000000000054
155,0.21013000000000076,-0.21013000000000076,0.25708000000000053,-0.25708000000000053
156,0.26013000000000075,-0.26013000000000075,0.3070800000000005,-0.3070800000000005
157,0.31013000000000074,-0.31013000000000074,0.3570800000000005,-0.3570800000000005
158,0.3601300000000007,-0.3601300000000007,0.4070800000000005,-0.4070800000000005
159,0.4101300000000007,-0.4101300000000007,0.4570800000000005,-0.4570800000000005
160,0.4601300000000007,-0.4601300000000007,0.5070800000000005,-0.5070800000000005
161,0.5101300000000007,-0.5101300000000007,0.5570800000000006,-0.5570800000000006
162,0.5601300000000008,-0.5601300000000008,0.6070800000000006,-0.6070800000000006
163,0.6101300000000008,-0.6101300000000008,0.6570800000000007,-0.6570800000000007
164,0.6601300000000009,-0.6601300000000009,0.7070800000000007,-0.7070800000000007
165,0.7101300000000009,-0.7101300000000009,0.7570800000000008,-0.7570800000000008
166,0.760130000000001,-0.760130000000001,0.8070800000000008,-0.8070800000000008
167,0.810130000000001,-0.810130000000001,0.8570800000000008,-0.8570800000000008
168,0.8601300000000011,-0.8601300000000011,0.9070800000000009,-0.9070800000000009
169,0.9101300000000011,-0.9101300000000011,0.9570800000000009,-0.9570800000000009
170,0.9601300000000011,-0.9601300000000011,1.0070800000000009,-1.0070800000000009
171,1.010130000000001,-1.010130000000001,1.057080000000001,-1.057080000000001
172,1.0601300000000011,-1.0601300000000011,1.107080000000001,-1.107080000000001
173,1.1101300000000012,-1.1101300000000012,1.157080000000001,-1.157080000000001
174,1.1601300000000012,-1.1601300000000012,1.207080000000001,-1.207080000000001
175,1.2101300000000013,-1.2101300000000013,1.257080000000001,-1.257080000000001
176,1.2601300000000013,-1.2601300000000013,1.3070800000000011,-1.3070800000000011
177,1.3101300000000013,-1.3101300000000013,1.3570800000000012,-1.3570800000000012
178,1.3601300000000014,-1.3601300000000014,1.4070800000000012,-1.4070800000000012
179,1.4101300000000014,-1.4101300000000014,1.4570800000000013,-1.4570800000000013
180,1.43042,-1.43042,1.5070800000000013,-1.5070800000000013
181,1.4274,-1.4274,1.5570800000000014,-1.5570800000000014
182,1.42386,-1.42386,1.6070800000000014,-1.6070800000000014
183,1.41968,-1.41968,1.6570800000000014,-1.6570800000000014
184,1.41467,-1.41467,1.62909,-1.62909
185,1.40861,-1.40861,1.59987,-1.59987
186,1.40123,-1.40123,1.56944,-1.56944
187,1.39226,-1.39226,1.53764,-1.53764
188,1.3814,-1.3814,1.50428,-1.50428
189,1.36822,-1.36822,1.46912,-1.46912
190,1.35217,-1.35217,1.43182,-1.43182
191,1.33248,-1.33248,1.39194,-1.39194
192,1.30806,-1.30806,1.34886,-1.34886
193,1.27734,-1.27734,1.30166,-1.30166
194,1.23795,-1.23795,1.25166,-1.25166
195,1.18795,-1.18795,1.20166,-1.20166
196,1.13795,-1.13795,1.15166,-1.15166
197,1.08795,-1.08795,1.1016599999999999,-1.1016599999999999
198,1.03795,-1.03795,1.0516599999999998,-1.0516599999999998
199,0.9879499999999999,-0.9879499999999999,1.0016599999999998,-1.0016599999999998
200,0.9379499999999998,-0.9379499999999998,0.9516599999999997,-0.9516599999999997
201,0.8879499999999998,-0.8879499999999998,0.9016599999999997,-0.9016599999999997
202,0.8379499999999998,-0.8379499999999998,0.8516599999999996,-0.8516599999999996
203,0.7879499999999997,-0.7879499999999997,0.8016599999999996,-0.8016599999999996
204,0.7379499999999997,-0.7379499999999997,0.7516599999999996,-0.7516599999999996
205,0.6879499999999996,-0.6879499999999996,0.7016599999999995,-0.7016599999999995
206,0.6379499999999996,-0.6379499999999996,0.6516599999999995,-0.6516599999999995
207,0.5879499999999995,-0.5879499999999995,0.6016599999999994,-0.6016599999999994
208,0.5379499999999995,-0.5379499999999995,0.5516599999999994,-0.5516599999999994
