frame,RL_pos_err_mm,RL_ori_err_deg,LL_pos_err_mm,LL_ori_err_deg,RL_max_delta_deg,LL_max_delta_deg,RL_max_frame_delta_deg,LL_max_frame_delta_deg,RL_max_velocity_deg_s,LL_max_velocity_deg_s,RL_solver_success,LL_solver_success,RL_solver_status,LL_solver_status,RL_nfev,LL_nfev,RL_limit_violation,LL_limit_violation
30,6.20633538312e-14,2.02701095703e-15,5.92859355033e-14,1.58678785094e-15,0.764118964978,0.766250090374,0.0632672274791,0.0635997588,6.32672274791,6.35997588,1,1,3,3,6,6,0,0
31,1.38777878078e-14,4.52821521467e-15,1.55158384578e-14,2.65658683534e-15,0.832238082394,0.834758829898,0.0681191174157,0.0685087395242,6.81191174157,6.85087395242,1,1,3,3,6,6,0,0
32,2.08166817117e-14,5.03212086194e-15,6.54613941668e-14,1.15597789824e-14,0.905555224988,0.908531950209,0.073317142594,0.0737731203109,7.3317142594,7.37731203109,1,1,3,3,6,6,0,0
33,5.92859355033e-14,1.00801203573e-14,8.993834425e-14,1.81079946658e-14,0.984440371998,0.987950138501,0.0788851470095,0.0794181882922,7.88851470095,7.94181882922,1,1,3,3,6,6,0,0
34,5.88784672006e-14,3.85756506072e-15,3.73670872518e-14,9.7416431714e-16,1.06928908221,1.07342132403,0.0848487102158,0.0854711855297,8.48487102158,8.54711855297,1,1,3,3,6,6,0,0
35,5.72195849815e-14,8.12930143553e-15,6.93889390391e-15,1.16152671498e-14,1.16052389605,1.16538232881,0.0912348138374,0.0919610047792,9.12348138374,9.19610047792,1,1,3,3,6,6,0,0
36,3.73670872518e-14,2.82630263521e-15,9.43791607972e-14,8.85622412748e-15,1.25859481698,1.26429962431,0.0980709209332,0.0989172955039,9.80709209332,9.89172955039,1,1,3,3,6,6,0,0
37,2.50185377655e-14,2.21000476273e-15,5.72195849815e-14,5.24749298222e-15,1.36397747785,1.37066778576,0.105382660863,0.106368161443,10.5382660863,10.6368161443,1,1,3,3,6,6,0,0
38,4.16333634234e-14,6.63788357069e-15,6.08885468947e-14,5.1731763645e-14,1.4771677431,1.4850043727,0.113190265253,0.114336586942,11.3190265253,11.4336586942,1,1,3,3,6,6,0,0
39,2.50185377655e-14,2.78461530338e-15,3.46944695195e-14,2.19822852999e-15,1.59867746723,1.60784598957,0.121509724128,0.122841616876,12.1509724128,12.2841616876,1,1,3,3,6,6,0,0
40,8.46999943497e-14,4.7304576766e-15,6.54613941668e-14,6.45315905011e-15,1.72902667088,1.73974073318,0.130349203656,0.131894743603,13.0349203656,13.1894743603,1,1,3,3,7,6,0,0
41,6.54613941668e-14,3.23195478373e-15,4.65475153734e-14,2.85420734796e-13,1.86873699213,1.88124192101,0.139710321244,0.141501187828,13.9710321244,14.1501187828,1,1,3,3,7,6,0,0
42,4.44305997371e-14,8.1137557587e-15,6.93889390391e-15,4.9411215995e-13,2.01833540727,2.03291222447,0.149598415141,0.151670303462,14.9598415141,15.1670303462,1,1,3,3,7,6,0,0
43,6.35960131078e-14,8.28783347113e-15,2.50185377655e-14,3.68931852946e-15,2.17838175003,2.19535201879,0.160046342764,0.162439794319,16.0046342764,16.2439794319,1,1,3,3,7,6,0,0
44,1.55158384578e-14,4.33267567954e-15,6.08885468947e-14,3.14773608206e-15,2.34953791831,2.36927034891,0.171156168272,0.173918330126,17.1156168272,17.3918330126,1,1,3,3,7,6,0,0
45,2.50185377655e-14,3.25933838557e-15,2.08166817117e-14,4.84607921337e-15,2.53269587702,2.55561636148,0.184906275606,0.186346012569,18.4906275606,18.6346012569,1,1,3,3,7,6,0,0
46,1.12101261755e-13,4.89304641305e-15,1.96261557335e-14,3.01478608385e-15,2.72916854481,2.75577608939,0.203999210859,0.200159727904,20.3999210859,20.0159727904,1,1,3,3,7,6,0,0
47,6.69162694769e-14,6.8110005638e-15,4.16333634234e-14,6.66573001006e-15,2.94091301327,2.97180436861,0.226514223163,0.216028279225,22.6514223163,21.6028279225,1,1,3,3,7,6,0,0
48,3.92523114671e-14,1.33708586211e-14,1.96261557335e-14,3.48879115401e-15,3.17069018344,3.20659474159,0.253765004612,0.234790372981,25.3765004612,23.4790372981,1,1,3,3,7,7,0,0
49,3.46944695195e-14,5.23769905296e-15,5.92859355033e-14,1.38958467423e-14,3.42196633803,3.46378821099,0.287191751532,0.257193469401,28.7191751532,25.7193469401,1,1,3,3,7,7,0,0
50,7.07631108375e-14,2.01360180703e-14,7.07631108375e-14,4.33303782415e-15,3.69824599155,3.7470994239,0.327722655667,0.283311212907,32.7722655667,28.3311212907,1,1,3,3,7,7,0,0
51,6.35960131078e-14,9.40800376212e-15,2.50185377655e-14,5.36495477842e-15,4.00144144419,4.05864590651,0.374448857119,0.311546482609,37.4448857119,31.1546482609,1,1,3,3,7,7,0,0
52,5.92859355033e-14,9.20310530609e-15,2.50185377655e-14,6.40986459043e-15,4.3302639273,4.39727702397,0.424142058624,0.338631117464,42.4142058624,33.8631117464,1,1,3,3,7,7,0,0
53,6.20633538312e-14,1.45732034113e-14,2.08166817117e-14,9.86600446461e-15,4.70973777691,4.76056377789,0.475465525601,0.363286753917,47.5465525601,36.3286753917,1,1,3,3,7,7,0,0
54,5.76387816845e-14,1.30758255981e-13,3.10316769156e-14,4.93919973259e-15,5.23761265586,5.1456416565,0.52787487895,0.385077878613,52.787487895,38.5077878613,1,1,3,3,7,7,0,0
55,1.15277563369e-13,1.18215139759e-14,3.10316769156e-14,6.27663829058e-15,5.81853888563,5.54941176934,0.580926229769,0.403770112837,58.0926229769,40.3770112837,1,1,3,3,7,7,0,0
56,6.08885468947e-14,2.19671454652e-14,6.93889390391e-15,5.17771226845e-15,6.45278584664,5.96868534737,0.63424696101,0.419273578036,63.424696101,41.9273578036,1,1,3,3,8,7,0,0
57,6.20633538312e-14,1.62343647944e-14,1.38777878078e-14,6.56127723032e-15,7.14031211474,6.40029043082,0.687526268101,0.431605083442,68.7526268101,43.1605083442,1,1,3,3,8,7,0,0
58,7.8810685003e-14,2.33191357347e-14,1.11238931551e-13,5.74330086274e-15,7.88082402996,6.84114913585,0.740511915215,0.440858705036,74.0511915215,44.0858705036,1,1,3,3,8,7,0,0
59,3.92523114671e-14,2.85572967923e-14,6.24500451352e-14,5.81241895192e-15,8.67383446595,7.28833199699,0.793010435995,0.447182861143,79.3010435995,44.7182861143,1,1,3,3,8,7,0,0
60,5.59431511414e-14,1.70075620941e-14,5.76387816845e-14,6.06883922542e-15,9.51872366886,7.73909448869,0.844889202907,0.450762491698,84.4889202907,45.0762491698,1,1,3,3,8,7,0,0
61,3.46944695195e-14,2.84947949293e-14,5.59431511414e-14,8.45424079329e-15,10.4148032638,8.19089974858,0.896079594957,0.451805259884,89.6079594957,45.1805259884,1,1,3,3,8,7,0,0
62,5.59431511414e-14,2.24135977129e-14,7.07631108375e-14,6.58960411537e-14,11.3613843662,8.64143067753,0.946581102373,0.450530928952,94.6581102373,45.0530928952,1,1,3,3,8,7,0,0
63,3.46944695195e-14,2.88307578269e-14,5.59431511414e-14,7.97564361584e-15,12.3578510333,9.0885939404,0.996466667141,0.447163262875,99.6466667141,44.7163262875,1,1,3,3,8,7,0,0
64,3.46944695195e-14,2.98379860767e-14,1.55158384578e-14,1.13015006662e-14,13.4037410285,9.53051786006,1.04588999519,0.441923919659,104.588999519,44.1923919659,1,1,3,3,8,7,0,0
65,6.93889390391e-15,3.27659763088e-14,2.08166817117e-14,6.79311320858e-15,14.49883706,9.96554579755,1.09509603152,0.43502793749,109.509603152,43.502793749,1,1,3,3,8,7,0,0
66,6.35960131078e-14,4.14187119794e-14,5.59431511414e-14,4.88343306386e-15,15.6432734915,10.3922262825,1.1444364315,0.426680484951,114.44364315,42.6680484951,1,1,3,3,8,7,0,0
67,6.20633538312e-14,3.1958168041e-14,2.94392336003e-14,1.5186405341e-13,16.837666301,10.8093008922,1.19439280946,0.417074609728,119.439280946,41.7074609728,1,1,3,3,8,7,0,0
68,6.93889390391e-15,4.85329687077e-14,2.86097924908e-14,1.34560817932e-14,18.083278505,11.2156906749,1.24561220397,0.406389782697,124.561220397,40.6389782697,1,1,3,3,8,7,0,0
69,2.77555756156e-14,4.27587535558e-14,4.65475153734e-14,1.41374130645e-14,19.3822405304,11.610481735,1.29896202548,0.39479106006,129.896202548,39.479106006,1,1,3,3,8,7,0,0
70,6.79869977755e-14,3.44738858044e-14,6.24500451352e-14,5.56698526346e-14,20.7378575732,11.9929104629,1.35561704277,0.382428727934,135.561704277,38.2428727934,1,1,3,3,8,7,0,0
71,0,5.45980640266e-14,2.08166817117e-14,4.34408580634e-15,22.1550587034,12.3623487799,1.41720113021,0.369438316959,141.720113021,36.9438316959,1,1,1,3,8,7,0,0
72,6.20633538312e-14,5.63067139225e-14,5.96906223549e-14,6.43546140518e-15,23.6410859477,12.7182896712,1.48602724429,0.35594089136,148.602724429,35.594089136,1,1,3,3,9,7,0,0
73,3.10316769156e-14,5.3333019385e-14,5.88784672006e-14,7.65285116063e-15,25.2066104269,13.0603332113,1.56552447915,0.342043540085,156.552447915,34.2043540085,1,1,3,3,9,7,0,0
74,5.59431511414e-14,6.62716403106e-14,9.81307786677e-15,8.73231645681e-15,26.8676592678,13.388173222,1.66104884095,0.327840010667,166.104884095,32.7840010667,1,1,3,3,9,7,0,0
75,1.17756934401e-13,8.04115268338e-14,4.22076438404e-14,1.00767163616e-14,28.4997018122,13.7015846552,1.63204254441,0.31341143317,163.204254441,31.341143317,1,1,3,3,9,7,0,0
76,3.46944695195e-14,5.64568000916e-14,5.55111512313e-14,4.74933394284e-15,29.6925372238,14.0004117541,1.19283541159,0.298827098976,119.283541159,29.8827098976,1,1,3,3,9,7,0,0
77,5.72195849815e-14,3.76491230978e-14,2.86097924908e-14,4.04083902302e-15,30.3222718833,14.2845570156,0.629734659517,0.291757316322,62.9734659517,29.1757316322,1,1,3,3,9,7,0,0
78,6.79869977755e-14,7.31982572283e-15,4.51028103754e-14,1.77101973101e-14,30.3284628179,14.5539709545,0.276101490819,0.287550078589,27.6101490819,28.7550078589,1,1,3,3,8,7,0,0
79,7.8810685003e-14,2.53009974396e-14,5.85710057404e-14,5.71067853658e-15,29.7330243625,14.8086426495,0.595438455377,0.281691996625,59.5438455377,28.1691996625,1,1,3,3,9,7,0,0
80,2.77555756156e-14,5.37656758953e-14,2.11038219202e-14,1.30657875528e-14,28.6319941762,15.0485910398,1.10103018633,0.274249695711,110.103018633,27.4249695711,1,1,3,3,9,7,0,0
81,6.24500451352e-14,6.90911186053e-14,3.53815554188e-14,4.09686595979e-15,27.1530871646,15.2738569327,1.47890701152,0.265290158753,147.890701152,26.5290158753,1,1,3,3,9,7,0,0
82,6.93889390391e-15,6.73132434711e-14,6.93889390391e-15,5.46740291061e-15,25.4384659347,15.4844956703,1.71462122998,0.254879804246,171.462122998,25.4879804246,1,1,3,3,9,7,0,0
83,6.93889390391e-15,9.97569754105e-14,5.81585287368e-14,9.57278666257e-15,23.5991913197,15.6805704078,1.83927461493,0.243083795749,183.927461493,24.3083795749,1,1,3,3,9,7,0,0
84,5.72195849815e-14,6.15547937201e-14,5.96906223549e-14,2.73027219045e-15,21.6991547553,15.8621459459,1.90003656444,0.229965552115,190.003656444,22.9965552115,1,1,3,3,10,7,0,0
85,5.72195849815e-14,6.6314047815e-14,2.79715755707e-14,4.38630338166e-15,19.7857367145,16.0292830627,1.91341804082,0.21558644157,191.341804082,21.558644157,1,1,3,3,10,7,0,0
86,2.08166817117e-14,5.20155114747e-14,6.93889390391e-15,5.15748048834e-15,17.8944903943,16.182033293,1.89124632011,0.200005648384,189.124632011,20.0005648384,1,1,3,3,10,7,0,0
87,7.37614539776e-14,5.22872412547e-14,1.25092688828e-14,2.97656854193e-15,16.1732037818,16.3204340982,1.84180908711,0.183280185592,184.180908711,18.3280185592,1,1,3,3,9,7,0,0
88,1.38777878078e-14,3.81075420642e-14,2.11038219202e-14,3.9393001596e-15,16.3829070848,16.4445043795,1.77094215345,0.165465051629,177.094215345,16.5465051629,1,1,3,3,9,7,0,0
89,7.97218214574e-14,5.04133152623e-14,5.81585287368e-14,5.63414249464e-15,16.5805139339,16.5542402837,1.6828401828,0.146613514843,168.28401828,14.6613514843,1,1,3,3,9,7,0,0
90,3.46944695195e-14,3.24810038937e-14,9.59601612473e-14,4.32219025558e-15,16.7645756928,16.6496112602,1.58061202566,0.126777519301,158.061202566,12.6777519301,1,1,3,3,9,7,0,0
91,6.54613941668e-14,4.1137387803e-14,5.59431511414e-14,1.30664953227e-15,16.9335781329,16.7305563232,1.46664950921,0.106008201676,146.664950921,10.6008201676,1,1,3,3,9,7,0,0
92,1.03851854526e-13,1.90401398545e-14,5.73246715439e-14,2.46188895485e-15,17.0859635921,16.7969804825,1.34287047412,0.084356512549,134.287047412,8.4356512549,1,1,3,3,8,6,0,0
93,8.35553472161e-14,1.84503402491e-14,1.04083408559e-14,6.81122589915e-15,17.2201550911,16.8487512975,1.2108794183,0.061873924198,121.08794183,6.1873924198,1,1,3,3,8,6,0,0
94,2.08166817117e-14,1.11608090864e-14,6.5553269853e-14,5.47301968408e-15,17.3345818059,16.8856955025,1.07207463613,0.0418395530385,107.207463613,4.18395530385,1,1,3,3,8,6,0,0
95,6.20633538312e-14,1.77464062307e-14,6.77209028297e-14,9.95907622948e-15,17.42770516,16.9075956412,0.927720535436,0.0314568751764,92.7720535436,3.14568751764,1,1,3,3,8,6,0,0
96,6.20633538312e-14,9.4014933337e-15,5.72195849815e-14,1.13959144015e-14,17.4980446642,16.9141866229,0.778997286494,0.0308751046526,77.8997286494,3.08751046526,1,1,3,3,8,6,0,0
97,2.86097924908e-14,8.74275773604e-15,5.93873657495e-14,3.49217145539e-15,17.5442025339,16.9051520982,0.627035742527,0.0454277936937,62.7035742527,4.54277936937,1,1,3,3,8,6,0,0
98,3.46944695195e-14,4.18473203471e-15,6.0192654933e-14,3.20267128195e-15,17.5648860605,16.8801205446,0.55667365345,0.0610658409196,55.667365345,6.10658409196,1,1,3,3,8,6,0,0
99,3.46944695195e-14,1.60746566631e-14,8.3627346667e-14,9.7224200482e-16,17.558926753,16.8386609889,0.48329967477,0.0873251787666,48.329967477,8.73251787666,1,1,3,3,8,6,0,0
100,5.59431511414e-14,8.03123368741e-15,5.96906223549e-14,1.10819829503e-14,17.5252954224,16.7802784142,0.407084827073,0.113974825071,40.7084827073,11.3974825071,1,1,3,3,8,6,0,0
101,3.10316769156e-14,1.41700507249e-14,6.5553269853e-14,3.33995602863e-14,17.4631127105,16.7044091246,0.328603897333,0.140929789488,32.8603897333,14.0929789488,1,1,3,3,7,6,0,0
102,7.47341745035e-14,7.98556962096e-15,1.12101261755e-13,9.0816279301e-15,17.3716550708,16.6104167325,0.390334674469,0.168094184102,39.0334674469,16.8094184102,1,1,3,3,7,6,0,0
103,6.20633538312e-14,3.49081037895e-14,5.6371840561e-14,1.360208151e-14,17.2503568666,16.4975899251,0.456863800205,0.195356275021,45.6863800205,19.5356275021,1,1,3,3,8,7,0,0
104,3.10316769156e-14,1.68874983235e-14,5.93873657495e-14,1.1441168103e-14,17.098810439,16.3651442013,0.518296061017,0.222580285026,51.8296061017,22.2580285026,1,1,3,3,8,7,0,0
105,6.20633538312e-14,1.57763622765e-14,1.86835436259e-14,8.14853565105e-15,16.916766121,16.2122296915,0.574107083352,0.249595806941,57.4107083352,24.9595806941,1,1,3,3,8,7,0,0
106,1.38777878078e-14,1.82796399148e-14,1.21628735854e-13,4.2054728292e-15,16.6780437322,16.0105671835,0.619962349501,0.312943326009,61.9962349501,31.2943326009,1,1,3,3,8,7,0,0
107,3.92523114671e-14,1.43194938734e-14,7.7579192289e-15,1.15960497826e-14,16.36481577,15.7404200957,0.606475130967,0.396542552082,60.6475130967,39.6542552082,1,1,3,3,8,7,0,0
108,3.46944695195e-14,2.09149685925e-14,6.62836909476e-14,1.39268995962e-14,15.9897024906,15.4138159568,0.618441561549,0.455734939377,61.8441561549,45.5734939377,1,1,3,3,8,7,0,0
109,4.44305997371e-14,2.39805524933e-14,7.91915991846e-14,1.14058961588e-14,15.5654508433,15.0427665688,0.654111755417,0.491902723529,65.4111755417,49.1902723529,1,1,3,3,8,7,0,0
110,6.24500451352e-14,2.40491187228e-14,5.69031608876e-14,2.53528871332e-14,15.1046404542,14.6389978752,0.710221733332,0.507699069492,71.0221733332,50.7699069492,1,1,3,3,8,7,0,0
111,5.59431511414e-14,1.97984366869e-14,2.19427091786e-14,1.05696369389e-13,14.6192820859,14.2135758652,0.782027932627,0.506658958169,78.2027932627,50.6658958169,1,1,3,3,9,7,0,0
112,3.92523114671e-14,1.89762356588e-14,1.55158384578e-14,9.91085079378e-15,14.1203075658,13.7764226651,0.863252903199,0.492846265383,86.3252903199,49.2846265383,1,1,3,3,9,7,0,0
113,6.93889390391e-14,2.54415364157e-14,1.96261557335e-14,1.2252999963e-14,13.6169807137,13.3357478747,0.945970324545,0.470531262416,94.5970324545,47.0531262416,1,1,3,3,9,7,0,0
114,5.00370755311e-14,3.08454537778e-14,1.04083408559e-14,1.15038972039e-12,13.1163020013,12.8974652223,1.02052128927,0.443876222735,102.052128927,44.3876222735,1,1,3,3,9,7,0,0
115,3.46944695195e-14,2.46275389179e-14,3.10316769156e-14,1.31178695258e-14,13.0267114085,12.464718199,1.07564575053,0.432747023334,107.564575053,43.2747023334,1,1,3,3,9,7,0,0
116,5.55111512313e-14,3.59791614295e-14,3.46944695195e-15,9.32685540773e-15,13.6079265706,12.0387650329,1.10217490603,0.425953166082,110.217490603,42.5953166082,1,1,3,3,9,7,0,0
117,5.72195849815e-14,3.42032330393e-14,6.87791060272e-14,9.41245760467e-13,14.1626632049,11.6219333171,1.09928463695,0.416831715749,109.928463695,41.6831715749,1,1,3,3,9,7,0,0
118,4.44305997371e-14,3.36480616016e-14,5.6371840561e-14,7.57937752566e-13,15.2214898122,11.214610118,1.05882660732,0.407323199084,105.882660732,40.7323199084,1,1,3,3,9,7,0,0
119,4.85722573274e-14,1.92599871915e-13,7.91155630661e-14,6.45765051458e-13,16.1946478121,10.814880197,0.973157999897,0.399729921018,97.3157999897,39.9729921018,1,1,3,3,9,7,0,0
120,5.55111512313e-14,2.54280023584e-14,6.24500451352e-14,7.39116542244e-13,17.017920057,10.4149105045,0.823272244934,0.399969692508,82.3272244934,39.9969692508,1,1,3,3,9,7,0,0
121,3.10316769156e-14,1.67806963622e-14,1.73472347598e-14,9.60512162154e-15,17.6171210611,10.0035848487,0.599201004056,0.411325655784,59.9201004056,41.1325655784,1,1,3,3,9,7,0,0
122,6.24500451352e-14,5.29127792675e-15,4.65475153734e-14,1.89697796619e-12,17.960501274,9.58067682807,0.44825266255,0.422908020664,44.825266255,42.2908020664,1,1,3,3,8,7,0,0
123,1.38777878078e-14,5.07086494792e-15,1.12957008997e-13,1.15619600374e-14,18.0672751489,9.14879405058,0.449701402905,0.431882777488,44.9701402905,43.1882777488,1,1,3,3,8,7,0,0
124,2.08166817117e-14,8.39513938154e-15,2.77555756156e-14,2.5077402808e-12,17.9274697911,8.70999255007,0.449188656147,0.438801500516,44.9188656147,43.8801500516,1,1,3,3,8,7,0,0
125,4.16333634234e-14,1.19206598335e-14,2.77555756156e-14,5.90027091034e-15,17.5320862924,8.26588340373,0.44728444226,0.44410914634,44.728444226,44.410914634,1,1,3,3,8,7,0,0
126,2.86097924908e-14,2.70037463146e-14,1.55158384578e-14,9.68596039647e-15,16.8815847996,7.8177698964,0.650501492751,0.448113507322,65.0501492751,44.8113507322,1,1,3,3,9,7,0,0
127,5.55111512313e-14,2.90371923783e-14,6.93889390391e-14,1.22921768519e-14,15.9858967638,7.36680840512,0.895688035845,0.45096149128,89.5688035845,45.096149128,1,1,3,3,9,7,0,0
128,5.55111512313e-14,4.24316403402e-14,1.96261557335e-14,8.12839874969e-13,14.8631710286,6.91418739982,1.12272573525,0.452621005308,112.272573525,45.2621005308,1,1,3,3,9,7,0,0
129,2.86097924908e-14,3.9411848101e-14,1.38777878078e-14,1.32088389157e-14,13.6158731975,6.46131996091,1.24729783109,0.452867438907,124.729783109,45.2867438907,1,1,3,3,9,7,0,0
130,3.10316769156e-14,3.92574512121e-14,5.59431511414e-14,7.92083368598e-15,12.4456686861,6.15465338166,1.1702045114,0.451273918948,117.02045114,45.1273918948,1,1,3,3,9,7,0,0
131,3.73670872518e-14,3.30576727429e-14,6.93889390391e-14,7.72186271135e-14,11.3564406687,6.39546568209,1.08922801735,0.447886384866,108.922801735,44.7886384866,1,1,3,3,9,7,0,0
132,1.38777878078e-14,3.28289452544e-14,5.55111512313e-14,3.67963800393e-14,10.3403065583,6.62105335837,1.01613411044,0.44484537438,101.613411044,44.484537438,1,1,3,3,9,7,0,0
133,2.50185377655e-14,3.17636464307e-14,5.55111512313e-14,6.6643515798e-15,9.39006506218,6.83092048131,0.950241496082,0.442590603579,95.0241496082,44.2590603579,1,1,3,3,9,7,0,0
134,1.38777878078e-14,2.34508917093e-14,5.56194657757e-14,1.07398796533e-14,8.51112499276,7.02460737428,0.890107042389,0.440940560427,89.0107042389,44.0940560427,1,1,3,3,9,7,0,0
135,1.96261557335e-14,2.95665572287e-14,2.96429677517e-14,6.49687900709e-15,7.91573721682,7.20170288124,0.834618127436,0.43971876997,83.4618127436,43.971876997,1,1,3,3,9,7,0,0
